id|name|category
1|Jacobson-Cobb|gas_transport
2|Brewer Inc|gas_transport
3|Gregory PLC|gas_transport
4|Moore-Newton|gas_transport
5|Lewis, Castillo and Hall|gas_transport
6|Wyatt Group|gas_transport
7|Beltran PLC|gas_transport
8|Reeves, Smith and Clark|gas_transport
9|Berry-Stokes|gas_transport
10|Park-Ramsey|gas_transport
11|Peterson, Roberson and Lewis|gas_transport
12|Brown, Mclaughlin and Mckee|gas_transport
13|Reese-Waters|gas_transport
14|Miller, Moore and King|gas_transport
15|Miller, Herrera and Anthony|gas_transport
16|Parker-Cook|gas_transport
17|Benton, Walls and Nelson|gas_transport
18|Johnson, Wallace and Price|gas_transport
19|Hunter Group|gas_transport
20|Brown, Johnson and Kerr|gas_transport
21|Carroll-Gardner|gas_transport
22|Bentley and Sons|gas_transport
23|Gill, Aguirre and Webster|gas_transport
24|Moses, Rodriguez and Oliver|gas_transport
25|Higgins and Sons|gas_transport
26|Raymond-Gonzalez|gas_transport
27|Lopez, Valencia and Ramos|gas_transport
28|Carson-Greer|gas_transport
29|Watson-Martinez|gas_transport
30|Spears, Duncan and Jennings|gas_transport
31|Jones and Sons|gas_transport
32|Howell Group|gas_transport
33|Phillips Group|gas_transport
34|Wright-Lowe|gas_transport
35|Hill LLC|gas_transport
36|Alvarez, Graham and Gordon|gas_transport
37|Simon, Rosales and Bailey|gas_transport
38|Wilson Group|gas_transport
39|Rodgers-Sheppard|gas_transport
40|Alvarado-Fitzgerald|gas_transport
41|Ramos LLC|gas_transport
42|Sawyer-Olson|gas_transport
43|Beck, Michael and Barnes|gas_transport
44|Pierce, Nelson and Bennett|gas_transport
45|Bush Inc|gas_transport
46|Kramer LLC|gas_transport
47|Turner-Hahn|gas_transport
48|Miller, Duffy and Lee|gas_transport
49|Howard and Sons|grocery_net
50|Porter and Sons|grocery_net
51|Ruiz-Tran|grocery_net
52|Black-Clark|grocery_net
53|Martinez, Cochran and Valenzuela|grocery_net
54|Scott-Stewart|grocery_net
55|Powers LLC|grocery_net
56|Mendoza-Elliott|grocery_net
57|Thompson, Meyer and Kirby|grocery_net
58|Reyes, Houston and Lewis|grocery_net
59|Johnson-Buckley|grocery_net
60|Joseph and Sons|grocery_net
61|Davis, Gordon and Meyer|grocery_net
62|Bullock-Valentine|grocery_net
63|White, Mendez and Smith|grocery_net
64|Anderson-French|grocery_net
65|Martin, Perez and Lane|grocery_net
66|Garner-Moore|grocery_net
67|Pham, Gomez and Dunn|grocery_net
68|Smith, Wong and King|grocery_net
69|Garcia Ltd|grocery_net
70|Duarte PLC|grocery_net
71|Lee-Coleman|grocery_net
72|Peters LLC|grocery_net
73|Krueger LLC|grocery_net
74|Jones, Mcintyre and Lee|grocery_net
75|Wilcox Ltd|grocery_net
76|Landry LLC|grocery_net
77|Washington Ltd|grocery_net
78|Chambers PLC|grocery_net
79|Jackson, Patterson and Cortez|grocery_net
80|Santos-Rodriguez|grocery_net
81|Lee, Stephens and Moore|grocery_net
82|Myers PLC|grocery_net
83|Brewer-Parks|grocery_net
84|Smith, Taylor and Soto|grocery_net
85|Morrison Ltd|grocery_net
86|Doyle and Sons|grocery_net
87|Sosa-Perry|grocery_net
88|Henry-Morse|grocery_net
89|Harmon PLC|grocery_net
90|Rodriguez-Lopez|grocery_net
91|Flores Ltd|grocery_net
92|Martinez and Sons|grocery_net
93|Howard Group|grocery_net
94|Wise, Gonzalez and Boone|grocery_net
95|Cox-Ochoa|grocery_net
96|Rogers, Williams and Cline|grocery_net
97|Allen, Mckinney and Barnes|grocery_net
98|Le-Sandoval|grocery_net
99|Huber-Bell|grocery_net
100|Robertson LLC|grocery_net
101|Wyatt, Barnes and Wright|grocery_net
102|Maynard, Wagner and Williams|grocery_net
103|Chapman, Rodgers and Hopkins|grocery_net
104|Stevens-Solis|grocery_net
105|Palmer-Webster|grocery_net
106|Mccoy LLC|grocery_net
107|Blankenship Inc|grocery_net
108|Watson Group|grocery_net
109|Wilson LLC|grocery_net
110|Weiss Group|grocery_net
111|Proctor Group|grocery_net
112|Carter PLC|grocery_net
113|Jacobs-Owen|grocery_net
114|Diaz-Turner|grocery_net
115|Powell Group|grocery_net
116|Rodriguez-Harrell|grocery_net
117|Gardner, Mcgrath and Mccarthy|grocery_net
118|Kramer-Payne|grocery_net
119|Rodriguez, Parker and Johnson|grocery_net
120|Holt Group|grocery_net
121|Lewis-Lara|grocery_net
122|Peters, Kelley and Koch|grocery_net
123|Chambers and Sons|grocery_net
124|Hicks, Mays and Morris|grocery_net
125|Jones Ltd|grocery_net
126|Gill LLC|grocery_pos
127|Avila, Harris and Jones|grocery_pos
128|King and Sons|grocery_pos
129|Vasquez LLC|grocery_pos
130|Miller, Hunt and Warren|grocery_pos
131|Pacheco-Vargas|grocery_pos
132|Sanchez PLC|grocery_pos
133|Huerta, Franklin and Mclean|grocery_pos
134|Ward-Moreno|grocery_pos
135|Stephenson Group|grocery_pos
136|Gonzalez Ltd|grocery_pos
137|Mendoza, Foster and Frazier|grocery_pos
138|Peterson PLC|grocery_pos
139|Smith Group|grocery_pos
140|Carson PLC|grocery_pos
141|Carter, Smith and Ford|grocery_pos
142|Beard, Rodriguez and Hall|grocery_pos
143|Duffy Inc|grocery_pos
144|Scott-Young|grocery_pos
145|Smith-Pittman|grocery_pos
146|Garrett Group|grocery_pos
147|Yoder Ltd|grocery_pos
148|Reed, Gibson and Diaz|grocery_pos
149|Jacobs Ltd|grocery_pos
150|Johnson-Rivera|grocery_pos
151|Bernard PLC|grocery_pos
152|Crawford, Mercer and Greene|grocery_pos
153|Parks, Clark and Marsh|grocery_pos
154|Ellis Group|grocery_pos
155|Smith, Robbins and Watson|grocery_pos
156|Michael-Fisher|grocery_pos
157|Hampton-Conner|grocery_pos
158|Garza Ltd|grocery_pos
159|Collins Ltd|grocery_pos
160|Stephenson LLC|grocery_pos
161|Tran Inc|grocery_pos
162|Henry, Tucker and Mitchell|grocery_pos
163|Scott, Roberts and Taylor|grocery_pos
164|Berg Ltd|grocery_pos
165|Wheeler, White and Adams|grocery_pos
166|Copeland-Lynch|grocery_pos
167|Carpenter, Johnson and Kaufman|grocery_pos
168|Schneider-Adams|grocery_pos
169|Ramirez Group|grocery_pos
170|Mitchell, Hurst and Walker|grocery_pos
171|Spence PLC|grocery_pos
172|Gray-Paul|grocery_pos
173|Cameron-Gomez|grocery_pos
174|Wagner LLC|grocery_pos
175|Miller, Torres and Welch|grocery_pos
176|Hudson-Martin|grocery_pos
177|Murphy-Riddle|grocery_pos
178|Stevens, Taylor and Howe|grocery_pos
179|Bentley, Brown and Snyder|grocery_pos
180|Lee, Torres and Gay|grocery_pos
181|Castillo LLC|grocery_pos
182|Cox and Sons|grocery_pos
183|Soto PLC|grocery_pos
184|Murray LLC|grocery_pos
185|Knight, Wright and Johnson|grocery_pos
186|Harris LLC|grocery_pos
187|Frederick PLC|grocery_pos
188|Wise, Wright and Morrison|grocery_pos
189|Lawrence, Watkins and Marquez|grocery_pos
190|Martin-Levy|grocery_pos
191|Newman, Walls and Clark|grocery_pos
192|Wu, Boyd and Allen|grocery_pos
193|Frey PLC|pharmacy
194|Robles-Richards|pharmacy
195|Williams LLC|pharmacy
196|Byrd-Roman|pharmacy
197|Jones, Meza and Atkinson|pharmacy
198|Guerra Inc|pharmacy
199|Hernandez, Fischer and Stevens|pharmacy
200|Gray-Warner|pharmacy
201|Cortez, Jackson and Moreno|pharmacy
202|Johnson, Hardy and Garner|pharmacy
203|Padilla, Garcia and Bauer|pharmacy
204|Ross, Cooley and Hopkins|pharmacy
205|Hoover Group|pharmacy
206|Duran, Torres and Nguyen|pharmacy
207|Wolf, Duran and Huff|pharmacy
208|Taylor LLC|pharmacy
209|Gates Group|pharmacy
210|Wright Group|pharmacy
211|Adams PLC|pharmacy
212|Watson-Terry|pharmacy
213|Lane Group|pharmacy
214|Cain and Sons|pharmacy
215|Hess and Sons|pharmacy
216|Walters Ltd|pharmacy
217|Fry Inc|pharmacy
218|Stevens Group|pharmacy
219|Adams-Miller|pharmacy
220|Vazquez, Flowers and Williams|pharmacy
221|Gonzalez and Sons|pharmacy
222|Mata-Osborne|pharmacy
223|Robinson, Hicks and Rhodes|pharmacy
224|Burns-Rice|pharmacy
225|Hernandez, Blackwell and Wolfe|pharmacy
226|Franklin-Ward|pharmacy
227|Jones, Parker and Downs|pharmacy
228|Adams-Brown|pharmacy
229|Griffin, Moore and Randolph|pharmacy
230|Mckay-Brooks|pharmacy
231|Nguyen Group|pharmacy
232|Anderson, Brooks and Walker|pharmacy
233|Davies, Bolton and Wilson|pharmacy
234|Rodriguez-Rogers|pharmacy
235|Davis Inc|pharmacy
236|Mason-Jones|pharmacy
237|Garza Ltd|pharmacy
238|Mercer-Cox|pharmacy
239|Anderson-Serrano|pharmacy
240|Armstrong PLC|pharmacy
241|Taylor, Ferguson and Valenzuela|pharmacy
242|Lee, Rodriguez and Flores|pharmacy
243|Dillon-Smith|pharmacy
244|Bruce Inc|pharmacy
245|Vaughan-Martin|pharmacy
246|Norris LLC|pharmacy
247|Powell, Foley and Gordon|pharmacy
248|House Group|pharmacy
249|Crawford-Huynh|pharmacy
250|Campbell-Clark|pharmacy
251|Hart LLC|pharmacy
252|Thomas, Manning and Mora|pharmacy
253|Norman-Wagner|pharmacy
254|James-Martinez|pharmacy
255|Johnson-Smith|pharmacy
256|Lewis Ltd|pharmacy
257|Davis Group|pharmacy
258|Schwartz-Kane|pharmacy
259|Martinez-Duffy|pharmacy
260|Orr, Mcintyre and Barnett|pharmacy
261|Lutz PLC|pharmacy
262|Clark, Andrade and Curtis|pharmacy
263|Graves-Wood|pharmacy
264|Guzman PLC|pharmacy
265|Smith PLC|pharmacy
266|Lambert-Medina|pharmacy
267|Smith, Price and Morrison|pharmacy
268|Rogers LLC|pharmacy
269|Reyes-Pruitt|pharmacy
270|Guzman Group|pharmacy
271|Hull and Sons|pharmacy
272|Giles LLC|pharmacy
273|Mason-Johnson|pharmacy
274|Smith-Reid|pharmacy
275|Rodriguez-Sanders|pharmacy
276|Cummings-Harris|pharmacy
277|Phillips Ltd|pharmacy
278|Gutierrez Ltd|pharmacy
279|Camacho and Sons|pharmacy
280|Adams, White and Vasquez|pharmacy
281|Tyler Ltd|pharmacy
282|Smith Group|pharmacy
283|Villanueva, Garner and Hampton|pharmacy
284|Robles LLC|pharmacy
285|Burton-Sanchez|pharmacy
286|Osborne Inc|pharmacy
287|Salinas-Smith|pharmacy
288|Wood-Gonzalez|pharmacy
289|Garner-Lee|pharmacy
290|Gross PLC|misc_net
291|Shelton-Brown|misc_net
292|Weaver and Sons|misc_net
293|Tanner LLC|misc_net
294|Oconnor, Anderson and Rodriguez|misc_net
295|Hardy-Stafford|misc_net
296|Rosario PLC|misc_net
297|Ramirez-Robles|misc_net
298|Underwood and Sons|misc_net
299|Moore, Hayes and Williams|misc_net
300|Davidson PLC|misc_net
301|Goodman Group|misc_net
302|Green and Sons|misc_net
303|Price, Mercado and Jackson|misc_net
304|Lopez-Stewart|misc_net
305|Johnson PLC|misc_net
306|Perry-Garcia|misc_net
307|Smith-Smith|misc_net
308|Lara-Davis|misc_net
309|Stewart-Barker|misc_net
310|Hill and Sons|misc_net
311|Evans-Howell|misc_net
312|King, Walsh and Reyes|misc_net
313|Robinson-Clark|misc_net
314|Cook Inc|misc_net
315|Fields, Alvarez and Johnson|misc_net
316|Richardson LLC|misc_net
317|Mitchell LLC|misc_net
318|Obrien-Dennis|misc_net
319|Ayala, Adams and Gray|misc_net
320|Bernard-Nguyen|misc_net
321|Jackson and Sons|misc_net
322|Gonzales, Lewis and Hogan|misc_net
323|Miller LLC|misc_net
324|Ibarra, Alexander and Young|misc_net
325|Martin-Payne|misc_net
326|Roberson, Jones and Morris|misc_net
327|Weeks-Mclean|misc_net
328|Carroll, Rodriguez and Harvey|misc_net
329|Donaldson-Newman|misc_net
330|Rogers Ltd|misc_net
331|Preston-Smith|misc_net
332|Johnson Group|misc_net
333|Williams-Lutz|misc_net
334|Boyer Inc|misc_net
335|Brown-Smith|misc_pos
336|Kidd, Wood and Fuentes|misc_pos
337|Lee-Lopez|misc_pos
338|Price, Allen and White|misc_pos
339|Nicholson-Farley|misc_pos
340|Bradford Ltd|misc_pos
341|Yates-Fleming|misc_pos
342|Wall, Krueger and Maxwell|misc_pos
343|Robertson-Robertson|misc_pos
344|Garcia-Richardson|misc_pos
345|Vaughn LLC|misc_pos
346|Jones PLC|misc_pos
347|Shaffer Group|misc_pos
348|Shea Group|misc_pos
349|Scott and Sons|misc_pos
350|Fox, Kennedy and Ferguson|misc_pos
351|Rivera and Sons|misc_pos
352|Campbell-Reyes|misc_pos
